Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
P101999492-1.txt,1,158,93.42,73.66,5.49,99.00,79.00,14.56,37.97,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,2.53,5.70,0.00,0.00,46.84,0.63,6.96,6.96,0.00,0.00,0.00,0.00,6.33,3.80,0.00,1.27,1.27,3.80,0.63,0.00,1.27,1.90,1.27,0.00,0.63,0.63,0.00,0.00,1.90,0.00,1.27,0.00,0.00,8.86,3.80,1.27,2.53,1.90,0.63,0.63,3.16,1.27,12.03,1.90,5.06,5.06,3.80,4.43,1.27,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,0.63,0.63,0.00,0.00,0.00,0.00,1.90,0.00,0.00,0.00,1.90
P102572577-1.txt,1,67,94.18,91.04,39.49,99.00,33.50,22.39,50.75,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,10.45,5.97,0.00,0.00,41.79,0.00,14.93,13.43,1.49,0.00,0.00,1.49,13.43,0.00,0.00,0.00,0.00,11.94,5.97,0.00,0.00,2.99,4.48,0.00,2.99,0.00,0.00,1.49,1.49,0.00,0.00,0.00,0.00,14.93,10.45,0.00,1.49,0.00,2.99,1.49,7.46,1.49,13.43,4.48,4.48,4.48,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.46,1.49,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.48
P103415801-1.txt,1,125,92.03,59.48,6.70,70.90,62.50,12.80,43.20,2.40,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,0.00,0.00,0.80,4.00,5.60,0.00,0.00,45.60,0.00,8.80,5.60,3.20,1.60,0.80,0.00,3.20,0.00,0.80,0.00,0.80,4.80,1.60,0.00,0.00,1.60,1.60,0.00,2.40,0.00,0.00,0.80,2.40,0.00,2.40,0.00,0.00,10.40,2.40,4.00,3.20,1.60,0.80,0.80,5.60,0.80,10.40,0.80,0.80,7.20,10.40,3.20,0.00,0.00,0.00,0.00,1.60,0.00,0.80,0.80,0.00,0.00,4.00,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40
P103679799-1.txt,1,81,93.97,64.46,10.82,99.00,40.50,19.75,43.21,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,4.94,9.88,0.00,0.00,43.21,0.00,11.11,8.64,2.47,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,9.88,3.70,1.23,0.00,0.00,6.17,0.00,4.94,3.70,0.00,1.23,2.47,0.00,2.47,0.00,0.00,13.58,2.47,4.94,7.41,3.70,1.23,1.23,4.94,0.00,9.88,3.70,2.47,3.70,6.17,4.94,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.17,1.23,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70
P104604351-1.txt,1,95,93.80,66.32,2.77,82.36,47.50,12.63,27.37,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.00,0.00,3.16,3.16,1.05,1.05,44.21,0.00,3.16,3.16,0.00,0.00,0.00,0.00,4.21,0.00,0.00,0.00,0.00,3.16,1.05,0.00,0.00,0.00,2.11,0.00,0.00,0.00,0.00,0.00,1.05,0.00,1.05,0.00,0.00,7.37,1.05,2.11,3.16,1.05,2.11,2.11,3.16,0.00,8.42,1.05,0.00,7.37,4.21,1.05,1.05,0.00,0.00,0.00,1.05,0.00,1.05,0.00,0.00,0.00,5.26,1.05,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.16
P108568567-1.txt,1,135,93.52,74.76,6.38,99.00,67.50,17.78,44.44,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.00,4.44,8.15,1.48,0.00,45.93,0.74,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,1.48,0.00,8.89,4.44,1.48,0.00,1.48,1.48,0.00,2.22,1.48,0.00,0.74,1.48,0.00,0.74,0.00,0.00,12.59,2.96,5.93,2.22,2.22,0.74,1.48,7.41,2.22,7.41,0.74,1.48,5.19,11.85,0.00,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.74,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22
P110409324-1.txt,1,67,94.18,67.28,6.57,99.00,33.50,13.43,41.79,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,1.49,8.96,0.00,0.00,41.79,0.00,11.94,8.96,2.99,0.00,0.00,1.49,4.48,0.00,0.00,0.00,0.00,4.48,1.49,0.00,0.00,0.00,2.99,0.00,1.49,0.00,0.00,1.49,1.49,0.00,0.00,1.49,0.00,13.43,1.49,1.49,7.46,0.00,2.99,1.49,2.99,0.00,10.45,1.49,2.99,4.48,8.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.46,1.49,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.48
P112078626-1.txt,1,131,93.54,83.96,5.59,94.95,65.50,12.98,40.46,2.29,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.00,1.53,0.00,0.00,0.00,0.00,2.29,10.69,1.53,0.00,46.56,0.00,10.69,7.63,3.05,1.53,0.76,0.76,9.92,1.53,1.53,0.00,1.53,3.82,0.76,0.00,0.00,0.76,2.29,0.00,0.76,0.00,0.00,0.76,1.53,0.00,0.76,0.00,0.00,14.50,6.11,5.34,3.82,3.05,0.76,1.53,3.05,1.53,10.69,2.29,3.05,5.34,4.58,3.05,0.76,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.82,0.76,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.29
P112771633-1.txt,1,49,94.61,88.95,7.24,99.00,24.50,14.29,46.94,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.00,0.00,0.00,0.00,6.12,10.20,0.00,0.00,38.78,0.00,12.24,10.20,2.04,0.00,0.00,0.00,12.24,0.00,2.04,0.00,0.00,8.16,4.08,2.04,0.00,0.00,4.08,0.00,6.12,2.04,0.00,4.08,4.08,0.00,2.04,0.00,0.00,14.29,6.12,0.00,4.08,0.00,4.08,4.08,4.08,0.00,8.16,4.08,0.00,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.20,2.04,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.12
P113462016-1.txt,1,73,94.08,79.44,4.73,98.13,36.50,12.33,46.58,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,8.22,10.96,0.00,0.00,42.47,0.00,16.44,10.96,5.48,1.37,2.74,0.00,8.22,0.00,1.37,0.00,0.00,10.96,2.74,1.37,0.00,4.11,4.11,0.00,6.85,2.74,1.37,2.74,0.00,0.00,0.00,0.00,0.00,9.59,2.74,1.37,1.37,1.37,2.74,1.37,10.96,0.00,8.22,2.74,1.37,5.48,4.11,1.37,0.00,0.00,0.00,0.00,1.37,0.00,0.00,1.37,0.00,0.00,6.85,1.37,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.11
